Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
558;2018-06-27 01:03:30.450;6b6f629c7ab8ab9effa548d4e5f30484d95722d54e7e4dc8bbb1e47f16e05d17f38f5d32c4496d247c863b6c782d534eb63565869b53ad5ab82f3163eaa10f65;2018-06-27 02:33:31.590;111.111.111-30;1;NULL;NULL;100000016
559;2018-06-27 01:04:09.327;339645cfd04f79dd9d25718bde3199686a7ba968eb66f114050d0356e814ed91b67171175bc67f43253638e50db13f3a6d490d13829147352ac297934d0c7f91;2018-06-27 02:34:10.460;111.111.111-31;1;NULL;NULL;100000016
560;2018-06-27 01:05:14.940;ab4e88e24465da67388a72c3c58c83d88d6d3b296e221de944e21fde6b8476119d15c2f523af1c158bc5b28f6dde69de11b3e4cbeb5b8668411b9640f899ef3d;2018-06-27 02:44:10.643;111.111.111-32;1;NULL;NULL;100000016
561;2018-06-27 01:09:39.820;1528be4e70ff15be3d1699b304a64f885a677c5788cfa4ca75c7efbfcd2371ddbe5dbb6a7248d1a041274b9b5943ffbfd6bb98f2e0e0db28e6c8a32655782ef0;2018-06-27 02:41:45.263;111.111.111-33;1;NULL;NULL;100000016
562;2018-06-27 01:11:04.393;69d28a8528f719e9764732314e2de19d4df288c667108c909d5223f28848d08951a9afe3381da0883ddd35e4a67e3d889c639a95aa98d8a9ad953570c054032f;2018-06-27 02:41:05.770;111.111.111-34;1;NULL;NULL;100000016
563;2018-06-27 01:15:09.880;d492fc4ee59698cbd4865a1b1130a3f59e6e89dee7d1633c471bdc76b3d8e54a2bcc1189cc1e67d2661ed256b94665bdbd5e13874edcecea488293fc00fd34bd;2018-06-27 02:45:43.997;111.111.111-35;1;NULL;NULL;100000016
564;2018-06-27 01:16:17.017;733a6f5e15f44913a05a7a6852998ebdd5904dcf994e01da7557f1611bcc429f6dca8869039c4f9d6002ac83ee7c18982303cbd1f064532506d2148d38aa843b;2018-06-27 02:46:18.083;111.111.111-36;1;NULL;NULL;100000016
565;2018-06-27 01:27:19.103;d4db29e17cba1a231e9cc0692dcda08c9f4a8e0fb3496196f1a1ecd4028511bf81904917c7296ca7307b2b036e9f8389e4118e2ee50afbed1c11eee07d5dd729;2018-06-27 02:57:22.003;111.111.111-37;1;NULL;NULL;100000016
566;2018-06-27 01:59:13.413;eeca12a7864e037ffcceff249144af82a29a55f1a72f54c02c500969d0ed1702c873306725edde07ea187965f949cd791f5cab82c19a9c08eb46bcdc4378c5ce;2018-06-27 03:37:56.360;111.111.111-38;1;NULL;NULL;100000016
567;2018-06-27 02:08:06.963;1f5990c8c457201079f1a5a068981702206f3099c49f697551a07821f4989dfe2e650184233b3700933776b48bfe4a24083b01a39bb648ec1ef8025e2f785de6;2018-06-27 04:02:47.720;111.111.111-39;1;NULL;NULL;100000016
568;2018-06-27 03:05:35.363;d46e12ab8618f92509dc1a244c8d129fec0bfbdf3cd2f4cdbbac70c025083be4b34792129bf0380778d8002bbc1ba3255b7178f1bd097a3a7c6f56ee9d00b7b8;2018-06-27 04:37:50.433;111.111.111-40;1;NULL;NULL;100000016
569;2018-06-27 03:07:54.157;ffbad7c8bf55bd003ae8897ec6150b6359a33bd4e4d0253459796f14623b22f29bf1a1a8293a4548f3ddee28a21c6c3e173e47f29224289411d9f76d92aae61a;2018-06-27 04:56:05.047;111.111.111-41;1;NULL;NULL;100000016
570;2018-06-27 03:27:46.237;12955ab8b1a93b9ab602fc002e5db663082afd44a472542ed8f1d3fb739106919a6388257da326a970a2b25e83268f425f8eda87c967403f41ddcece96bb599f;2018-06-27 04:59:18.430;111.111.111-42;1;NULL;NULL;100000016
571;2018-06-27 03:29:20.770;85851909538f42332abb63804c7448f5ebbcfff6dea1d9ec1135ac901349b0e7e2bbde06eb04e68c102f10d414641cb418b01135d2335d8e2ecf8cbf7ac55041;2018-06-27 04:59:22.153;111.111.111-43;1;NULL;NULL;100000016
572;2018-06-27 03:29:43.790;bb0d22be7c5840bac2f3ba608bc8ce97f900c58b01828342b18e3de7e3d942742a4009854647a9b53bea4c14c5ec17b9d9b8bb565c5034090bb33feedf11ecfb;2018-06-27 05:00:27.263;111.111.111-44;1;NULL;NULL;100000016
573;2018-06-27 03:31:15.100;a0e711eaf282663279c9065a7ee45746a0eac2cd7669999ff20459e38681f01e5b4884f2944c172b7ff8469c4c932b059b5fbaaa43274f31e81aeee82164fd9a;2018-06-27 05:01:33.150;111.111.111-45;1;NULL;NULL;100000016
574;2018-06-27 03:43:35.723;aca2c5529fe9ba4a903a9b1a8d07f4c0bed00cfa8549185d1d15768f1b5e5e4cc39af3dce303adf306697826faa4f7da49708e060edc23b60aed1af002e006ca;2018-06-27 05:18:11.890;111.111.111-46;1;NULL;NULL;100000016
575;2018-06-27 03:44:56.540;73f45a88f054de9f20975da4cf418b4759ffc0b31f1c9f4477c4206d35579312755205c14d3d6458a994c8372bb2e2442f6b66eb0ac648c5c5b1e816e1ea73f6;2018-06-27 05:14:56.540;111.111.111-47;1;NULL;NULL;100000016
576;2018-06-27 03:48:25.930;d01329c0d1413a9ef4595a519e413537552eedb6b1366384081498fef6615a2ba7e3d4fa0759a9f91c2c6514c96ffba1c67f2c9153deb4ff35a14e21caafe499;2018-06-27 05:38:31.440;111.111.111-48;1;NULL;NULL;100000016
577;2018-06-27 04:45:29.537;5ea61daed494bafbbc71397aa1be5fd1591ad271a79aa3699e0915000dd5ffabf5f04834812b25aba73206b7ec0b31843ceb320e8b57eb6cc59dd9b1a294c690;2018-06-27 06:17:57.570;111.111.111-49;1;NULL;NULL;100000016
578;2018-06-27 04:48:00.487;19775d84f58552ad9b8c5173543b1b4066e44f74f21ac4f6c46f288c9e088e2ddbbc599092a4958aa4e303e7d519ef7e934ba87da505bf8128516300ed34c805;2018-06-27 06:18:00.487;111.111.111-50;1;NULL;NULL;100000016
579;2018-06-27 04:48:24.057;d5d74e44f875ff7a30dd1f625681879a0f25a982cee3492700ea38bfda1b7c191b730e1ed4707f157b36665afb81df958d13ef2529b125f35a0ccdbbf1885ae2;2018-06-27 06:18:26.167;111.111.111-51;1;NULL;NULL;100000016
580;2018-06-27 04:53:21.717;9193e2a417fea9fff1d94994c45fd95fca37a142ec176a7ce38785528cfaf9c3e216f544e1fadbcb76834cb338942e056ce111e9d391a6cb5f6ba27310c8cc12;2018-06-27 06:33:20.353;111.111.111-52;1;NULL;NULL;100000016
581;2018-06-27 05:04:53.890;56a5507810812d33f24187e71e025aa1ec9e6f0d079bd8267bdabfbb90b9e9d9ffea66d2059cf10b443f201a2e060f01b2e9ae872262b55bd71136a512a43662;2018-06-27 06:34:53.890;111.111.111-53;1;NULL;NULL;100000016
582;2018-06-27 05:07:22.240;30f1db7add6ab8a4fea9f684b1a632db07f2ee08ec3fe72612430d5665f8426ab4d0bb333de248625a60418d674eb7058cdbda8f2469892016b3eef7dd4b0e88;2018-06-27 06:39:55.193;111.111.111-54;1;NULL;NULL;100000016
583;2018-06-27 05:13:47.133;6fda4625b49c7087c218269263e7ba44542e78da7f19fea0d65668244b587d2d106c2e2efdb745920828f673adc182ea4bfa591edaee0bca1bc28f633419f046;2018-06-27 06:45:37.160;111.111.111-55;1;NULL;NULL;100000016
584;2018-06-27 05:15:49.610;c3030c5f840d1b9fa9a3e3a4200e3e55c598d4a7528857be456f99458b1793c3e9fc3b6167d8deedc4b27474fa02c13be7d535d84624919cf804ebf13c2b3134;2018-06-27 06:45:50.877;111.111.111-56;1;NULL;NULL;100000016
585;2018-06-27 05:20:55.730;9d5bdd90e510ccd61fd2b0c9a53d945e4579f33296e64ccf8d4828bac839ae4465757f150411d0ffb7f08a0e3c091d7970fa2416062535c2f6cc7c7140762fe2;2018-06-27 07:04:29.660;111.111.111-57;1;NULL;NULL;100000016
586;2018-06-27 06:12:13.227;ae83c513068c010f188713f7be093523b433ed5f8ecfc21de05a177818e2fc15bd01b47bbd044424436856dce16c619c7c5f3df1d5f4fdba98adf282dea12742;2018-06-27 07:43:55.527;111.111.111-58;1;NULL;NULL;100000016
587;2018-06-27 06:14:39.330;c8954284d0e49451a4183373de32565276ca2bf5cf1f2893afd9b92b9bcfcac841b0d721106e2b2e63f45531aae98d37078c8db9fc5b4f82fb8ebad95a44bfe8;2018-06-27 07:45:32.110;111.111.111-59;1;NULL;NULL;100000016
588;2018-06-27 06:20:31.840;1375c2058afa8336d434b98c84c3808b903a46a5c85303bfe0af933e619b3ea00504917eb51b4c42d93670561aceb5e6b309d4ba2b2f7b3167653c3b838a7b5b;2018-06-27 07:52:26.643;111.111.111-60;1;NULL;NULL;100000016
589;2018-06-27 06:22:45.447;680d4401f5660a065589faf7c6b933ae81b4ab2769d782cea6e0b73841b025b085b293b89ac7bcb0e93483ee66a29a0a4275ca5b36d13840654259ebf02a10cc;2018-06-27 07:52:50.320;111.111.111-61;1;NULL;NULL;100000016
590;2018-06-27 06:30:44.933;5c2627be8fbebff33fb9ffc51bdcacc078593516c0c0c0c6ddfbb834818cc545e60d6144fedc8e48ad86c5f2d06aabbcc9e983c2d02d6138bc87e94e7e0d9d04;2018-06-27 08:02:42.123;111.111.111-62;1;NULL;NULL;100000016
591;2018-06-27 06:33:07.120;f5c1baeda5acce7cdc31154f4df5e32c4c57cab5f78091c75b184fc6655f132301f6e453ce4a2c2326ac2c10371ecb4c2ed9102661a516801af8d38a00275d54;2018-06-27 08:03:56.330;111.111.111-63;1;NULL;NULL;100000016
592;2018-06-27 06:54:57.413;142bd4abcca349b6370098829845a70a49e4f2581d97b716e6176980f880e8d0a12c450a735425f421484440bc558bbb0b8ca188f24ce236e30d02d6134ca044;2018-06-27 08:26:55.407;111.111.111-64;1;NULL;NULL;100000016
593;2018-06-27 06:57:22.213;a3871a21232081aadbf30297e161c58771639749af1f5016b6df1a77209f08dbc4e32e7815603e30a73e4ceee3a9ab6491638bd3a77e6c85fae08b2ca99e77b6;2018-06-27 08:27:24.320;111.111.111-65;1;NULL;NULL;100000016
594;2018-06-27 06:57:34.327;bf16f0027b23e9dc10556d68b1ffb98457d039c61d47ee21e172092b560dfd25459bf8414153982c46bdf3b1acc83d8bcc2e3c61006d89f552636753c454a6cb;2018-06-27 08:29:14.790;111.111.111-66;1;NULL;NULL;100000016
595;2018-06-27 06:59:27.970;2ffdeb56feecffeb7961bdfa6d0e23eb90bd41f1a249a42bcac44cc41f33357a30a5133280d1383dfde7b2c36ff441debf05a34a0f94018ccc24bb6747315981;2018-06-27 08:31:47.683;111.111.111-67;1;NULL;NULL;100000016
596;2018-06-27 06:59:29.820;8787d12b41b6e8199da692322361ff6e7d44b17f57fa6501e4a24abdbaad0deace9ba49f02959d39874ae11e6f3f9b340111ead72135440e2ceb076527821ecb;2018-06-27 08:29:31.213;111.111.111-68;1;NULL;NULL;100000016
597;2018-06-27 07:02:41.000;c98e88b163894374101da68731f8f18e353faaeb9711e3ce74835ce76f7a9e3e4d5d7980b44e01a24ac4abe7bed914a589148dea1f88b2aa95a8df4edd2f6674;2018-06-27 08:33:53.043;111.111.111-69;1;NULL;NULL;100000016
598;2018-06-27 07:06:26.897;5e9ae75b8b7065d90adf5b5cba09f7bf34ae121781aec69171c46194c9c9dab10110737f1137f5e2b1fd4f082e64810a8e3bfadd137aa7691bbd0ed433bf69a0;2018-06-27 08:37:08.387;111.111.111-70;1;NULL;NULL;100000016
599;2018-06-27 07:15:25.983;7f007b38612c3acb5d369b0c767bcb0f3924e518e4109bb7f95af668421c3db37152475e3735a86c2cfcea8c543a1cc793762c4d4ac3c7c37aece7fa4c729fa8;2018-06-27 08:48:04.960;111.111.111-71;1;NULL;NULL;100000016
600;2018-06-27 07:18:25.243;e0a7984493ff6e38f9c626334c06054b376f61a2036a80df82901244c120e8c4dd89d909c6f6a0eadbd6529a2c339093b4def399a2cee4a8dd7a8df9d6106107;2018-06-27 08:48:26.850;111.111.111-72;1;NULL;NULL;100000016
601;2018-06-27 07:20:13.910;613bc7220784609e1f318b1af4ce26c15cf83ad9d49882a87b3b71e8dec86bebfd187cec62c5ee06a8bb89b409884c452ed2d6192d40f0e11efcbb40217ccb7b;2018-06-27 08:52:48.653;111.111.111-73;1;NULL;NULL;100000016
602;2018-06-27 07:21:47.910;e4b60a036c06ef3bda4c1e0df499d2865bd46ce1ef1963249279bc875e259bb38deac11f2873bfb8c68576016e284a347f5a6b975a2c9c4abe88dd7c1120161f;2018-06-27 08:51:47.910;111.111.111-74;1;NULL;NULL;100000016
603;2018-06-27 07:22:31.253;3f401f595d0d5fe35990b59cd5299dd1daeb6ce7c57dd56882ceccec9aa7ef0b29bf163438fee953efb8d8e098c6a2d6e2d5d19902633a3226405632147e0758;2018-06-27 08:52:31.253;111.111.111-75;1;NULL;NULL;100000016
604;2018-06-27 07:23:01.010;27d2be04fbd0b6cbae90b5cc5607fbdd1d12164f5c7a3cb84058f874734912c79d29bee60c823e05466986d1f204f0d2f4242455f6a40b2ee3b4775b6821cf98;2018-06-27 08:53:02.710;111.111.111-76;1;NULL;NULL;100000016
605;2018-06-27 07:23:32.567;b7ac8f0a97333363be23b83903f3c849ea4087e02a4dd56494ce0ee7b06d8f49acb28bb750389025f3896db202c10b57e202d8c74fb30798e8a9d26d340df658;2018-06-27 08:53:32.567;111.111.111-77;1;NULL;NULL;100000016
606;2018-06-27 07:25:56.773;8efb044c8041f3626e66b1879aef28b8f1e2d3fa22fd349d7705b8ff32739d28e6fdc6e8c61dc95c9b3fa7619239c1c3649e61c53e12ba404933ae77846a7bb2;2018-06-27 08:55:56.773;111.111.111-78;1;NULL;NULL;100000016
607;2018-06-27 07:26:55.560;663460967de200a4362c25cad0b99302794fd9751cd80236b60e51c2024d73f2e383a36f5839e9cbad984468fad9ca6366dc2b12bf0d4b0e5c9ef2beed5841d3;2018-06-27 09:29:24.730;111.111.111-79;1;NULL;NULL;100000016
608;2018-06-27 07:27:07.860;33c9943c2a9b52ec1617daf1c0d7154fe257d122b805b013210bfae07e1f528cec632a04140e5995aa585c16cbceeca293a856c4e788e827559718874df22ae1;2018-06-27 08:57:07.860;111.111.111-80;1;NULL;NULL;100000016
609;2018-06-27 07:30:01.277;94225bda3c8f3954aa7086e69dcd7ce76889104b3d917501a0fd4aafa90b59f8236cd05a0bc40d333cf355a7d7bf602f56218a20732cdf1154c6d403110a80ae;2018-06-27 09:00:47.510;111.111.111-81;1;NULL;NULL;100000016
610;2018-06-27 07:30:58.397;6c7a23fe1b1f3da06761551f1f32681bcf1c6eab8b598a59c1cfb0deabd459feb380d1e37083d441ac8615c6e7f60cfcf3b3ccfcc817872f5e101270a2249fc6;2018-06-27 09:00:59.683;111.111.111-82;1;NULL;NULL;100000016
611;2018-06-27 07:32:16.570;4308aa0b3a7194e0745753d569ccc18c7da704858226ff2cebf07675931118c19700aa8887d0c289a225608c8a159919a1b754c68dd7acbc00e4c8521be8e8fa;2018-06-27 09:05:02.683;111.111.111-83;1;NULL;NULL;100000016
612;2018-06-27 07:34:06.453;aa7cdd3a737d967c7a2d48d74ee2e48de821ae8e546da84a2139f4e52b2a4ceae41693f9f452c8cb5c69770a171640f6aac69ccf79867badd4a275162cebea6b;2018-06-27 09:13:51.613;111.111.111-84;1;NULL;NULL;100000016
613;2018-06-27 07:35:10.760;0b2d4961912fa73cd6957838b0c4f431ae1d30c6a6b9f488725665bf65940a13c571f2699659aab0c5dc62ef3f7cdadf6a25a7c6e1434a2fbca268faee024fb4;2018-06-27 09:05:11.887;111.111.111-85;1;NULL;NULL;100000016
614;2018-06-27 07:43:10.707;22a226609b2cac02974a24bb3b1b8d5ef260b1e451ba64bf45f50651d8d5e3a4d2ec6bcd41c8ed5634a67b50d3e3867f7bafd48908096ffa7e5a1f0a3eae67b3;2018-06-27 09:14:37.737;111.111.111-86;1;NULL;NULL;100000016
615;2018-06-27 07:44:03.430;81d44d3157e540f7be7b020ada391c60b1e20e656dbb8bddb16840fa524289d7e4de5c6f607e839aa184155bb4dae5a292f98c8da04c095bdf7506ef3565e9f2;2018-06-27 09:22:32.353;111.111.111-87;1;NULL;NULL;100000016
616;2018-06-27 07:45:01.180;9cfd50bf7286c809ed12f9094769cbbd428003e411f3cd59eab5b1932a84f66d4d2b88d104541f1d354abff667d2735f57d56b5e732701e3ab1ad0a207732aa8;2018-06-27 09:15:02.320;111.111.111-88;1;NULL;NULL;100000016
617;2018-06-27 07:45:57.370;671fe61674a2e6910990fd55187dfd2abd2d70b82157f918d6cc46d72309e9c20108372f1f28371560bc04404d56849e417ba11754698b480408c8414c36126a;2018-06-27 09:15:57.370;111.111.111-89;1;NULL;NULL;100000016
618;2018-06-27 07:46:51.417;698b7dc715a1a4d40cd90176f7f92e1dc5a342233af6d9b1b4c6bebf7dade27f912facdf272e3fe3663ff222bf8e70ea97164d80647072056c27fa2c6acd5b62;2018-06-27 09:16:51.417;111.111.111-90;1;NULL;NULL;100000016
619;2018-06-27 07:47:17.307;e60b3fce1cd0225da40e549a5724b66c890529c4e1887ee6e2e211650160e3a04af3bcd7e1583434e1edee8d48f95d828c0936ee8466183cc8f05cdef9c1f96c;2018-06-27 09:21:43.437;111.111.111-91;1;NULL;NULL;100000016
620;2018-06-27 07:47:32.580;d7cce3043855fd7b2e916d4909727452f396897fa40574b7beb40e46205934387edd3403cd5042bb3da6a522f3ad2d88e5a7f88edf82476daf95c3323b5d05bd;2018-06-27 09:18:39.523;111.111.111-92;1;NULL;NULL;100000016
621;2018-06-27 07:50:04.147;8902717e29257de12157b34e965aa1e2c39d9bdfdc5376582346d4b2f9b1889e133851b2e5bd0021753c5b46cb9ccc933c5600a3302520c62ed2befed55d3fcb;2018-06-27 09:21:23.063;111.111.111-93;1;NULL;NULL;100000016
622;2018-06-27 07:50:08.440;e6e47f97d6d47dda62eb1cf55f88c69f849bdd9d1c410a6a80c587b52779a2abed5c993ee780b38460a8b55041ba6846b731c3f98cb5967d1ef7426e4a9fa4fb;2018-06-27 10:11:52.340;111.111.111-94;1;NULL;NULL;100000016
623;2018-06-27 07:50:19.553;d3251957780e3c2f8a3e213d2367bdfe3e4c999ceb67fc9346f9ebaefab7e3fad67d04595aa0cd0ce3caa68d63d829feaec47a2556236872d5d848b41114f1d9;2018-06-27 09:20:21.337;111.111.111-95;1;NULL;NULL;100000016
624;2018-06-27 07:52:24.047;293f16d47424d571347418cab06781bf0c40725ff1385f38e1d6bf2d36f16df49444f899ebe8308ad3e132d8899a761a4402cdad0b2575dbaabac3dc39a9610c;2018-06-27 09:40:15.613;111.111.111-96;1;NULL;NULL;100000016
625;2018-06-27 07:53:50.937;b2900235c6f99c283291c9df4fea55a17e52888180395a741084f09691a3169f3129c4886b163637a16af34b5092d41f0ee71b88b99ab12607b2cea597931d5c;2018-06-27 09:23:50.937;111.111.111-97;1;NULL;NULL;100000016
626;2018-06-27 07:55:11.403;01ccab70f62f70d810c9b46e6fe46a07dace54d8bdb112f82047e7a12ec0618f78e62c821e4007fa584dc79c119e54683ce6aa5bb47534db137b374b96a48a0d;2018-06-27 09:26:13.557;111.111.111-98;1;NULL;NULL;100000016
627;2018-06-27 07:56:12.900;8feec6c46c1e361bfa0054f69c8a9e11fa77ee872666b37325d532e0f5ade86a6cd073018f07aa0878db146f9c730b0424f137f9f684a0060b0bfa391971635a;2018-06-27 09:26:12.900;111.111.111-99;1;NULL;NULL;100000016
628;2018-06-27 07:56:28.840;3f6a58a64aa2fd3ec470013b1e941f9842350d2f7d8272c6b5ad1fa955ea38f3f28ae6ef5c01b91c5feae7123807a58f88ba1ede2ddb7fbb6e3b2d6b9533108a;2018-06-27 09:33:38.913;111.111.113-10;1;NULL;NULL;100000016
629;2018-06-27 07:56:55.460;73ae049e5ec5dd97377608b985005b496f99e27d8d2413a87a9275a889e6905fbd7c6f9363ebac77ed9965c167c21cd7456ce3be8c61e30ae53bbf6272197552;2018-06-27 09:26:55.460;111.111.113-11;1;NULL;NULL;100000016
630;2018-06-27 07:57:03.140;4a356bdcd2bb593cdef103f8b056bf4f4f3435cb42d77c739c1458e6a7edc4d69431b8efee642e05e9ebc01d41b297b997e55231162a3e397883933cc2df459b;2018-06-27 09:27:03.140;111.111.113-12;1;NULL;NULL;NULL
631;2018-06-27 07:57:58.043;192db45eecd3d62c01469980c246ba5ce826c3c34f35ac9f90003f5d7839494adfeaaab8791911231f10c7df591aef922cc562e8a5386f5cf3cf994d429f3e2f;2018-06-27 09:27:58.043;111.111.113-13;1;NULL;NULL;NULL
632;2018-06-27 07:58:54.093;b9be485e268bcce024aa9d75170ac60f6f4410a1d7434f7d17af19b560128096933adea96df5fcc71f7b83e2b1734ce1e33ed6e165b1e41d092f2f1409cc67d6;2018-06-27 09:28:54.093;111.111.113-14;1;NULL;NULL;NULL
633;2018-06-27 07:59:36.947;32205bf62989ca711bc627d1adaab4f5637849883f87a48fd67b99bd796337c617a1439fd8aa6cb9d57ea71a4e0abd5ddcab2d9d0945fd171748ebbff184d18e;2018-06-27 09:57:55.067;111.111.113-15;1;NULL;NULL;NULL
634;2018-06-27 08:00:10.787;45a5032bbd7954d142df4e19bb7bf662b90d02fd62e48cc312d4122ec850e0df3078c7a02141e4e1e30ad9925fdbeb6237b56d4c6d8271cd206b20e9bbf7a64e;2018-06-27 09:30:55.170;111.111.113-16;1;NULL;NULL;NULL
635;2018-06-27 08:01:03.763;50cf1eee417627e87aaa9aea059867637611a0dbd8fd1c045e0679b2df3509b1619158381e8817dcef9c934388696b01781db5408476e9652c422aa20d276fc4;2018-06-27 09:35:45.863;111.111.113-17;1;NULL;NULL;NULL
636;2018-06-27 08:01:29.253;8fa4d606d094196a0987a34c74685cc14a03396a8897214dc402ae065b75b632f0c91a83ebf3b18caf98794d6584208b7b57d0989f3af43f2137fc72c01f38d5;2018-06-27 09:33:17.693;111.111.113-18;1;NULL;NULL;NULL
637;2018-06-27 08:01:53.007;5f3c5065a7fa18fd387ecb8d8a01e747889035c2c0157d7ca825aa56d9de275cc002d7cd862394786f8aba6c2f91b74dba4a19a26df51c77085576b61a9077c6;2018-06-27 09:59:01.423;111.111.113-19;1;NULL;NULL;NULL
638;2018-06-27 08:02:26.173;da44213b693b25919801b4055e3756c90f595607499c2f4384a35b5b2a51490995ea5e2ac7f8231ea86ba362d20b10115fbc44ed747417d4fcd04469cbc67659;2018-06-27 09:40:35.920;111.111.113-20;1;NULL;NULL;NULL
